ward_code,osni_ward_lgd,nimdm_ward_lgd
95MM20,LISNAGELVIN Derry,Lisnagelvin Derry
95MM21,NEW BUILDINGS Derry,New Buildings Derry
95MM22,PENNYBURN Derry,Pennyburn Derry
95MM23,ROSEMOUNT Derry,Rosemount Derry
95MM24,SHANTALLOW EAST Derry,Shantallow East Derry
95MM25,SHANTALLOW WEST Derry,Shantallow West Derry
95MM26,SPRINGTOWN Derry,Springtown Derry
95MM27,STRAND Derry,Strand Derry
95MM28,THE DIAMOND Derry,The Diamond Derry
95MM29,VICTORIA Derry,Victoria Derry
95MM30,WESTLAND Derry,Westland Derry
95NN01,ARDGLASS Down,Ardglass Down
95NN03,BALLYMAGLAVE Down,Ballymaglave Down
95NN04,BALLYMOTE Down,Ballymote Down
95NN05,BALLYNAHINCH EAST Down,Ballynahinch East Down
95NN06,CASTLEWELLAN Down,Castlewellan Down
95NN07,CATHEDRAL Down,Cathedral Down
95NN08,CROSSGAR Down,Crossgar Down
95NN09,DERRYBOY Down,Derryboy Down
95NN10,DONARD Down,Donard Down
95NN11,DRUMANESS Down,Drumaness Down
95NN12,DUNDRUM Down,Dundrum Down
95NN13,DUNMORE Down,Dunmore Down
95NN14,KILLOUGH Down,Killough Down
95NN15,KILLYLEAGH Down,Killyleagh Down
95NN16,KILMORE Down,Kilmore Down
95NN17,MURLOUGH Down,Murlough Down
95NN18,QUOILE Down,Quoile Down
95NN19,SAINTFIELD Down,Saintfield Down
95NN20,SEAFORDE Down,Seaforde Down
95NN21,SHIMNA Down,Shimna Down
95NN22,STRANGFORD Down,Strangford Down
95NN23,TOLLYMORE Down,Tollymore Down
95OO01,ALTMORE Dungannon,Altmore Dungannon
95OO02,AUGHER Dungannon,Augher Dungannon
95OO03,AUGHNACLOY Dungannon,Aughnacloy Dungannon
95OO04,BALLYGAWLEY Dungannon,Ballygawley Dungannon
95OO05,BALLYSAGGART Dungannon,Ballysaggart Dungannon
95OO06,BENBURB Dungannon,Benburb Dungannon
95OO07,CALEDON Dungannon,Caledon Dungannon
95OO08,CASTLECAULFIELD Dungannon,Castlecaulfield Dungannon
95OO09,CLOGHER Dungannon,Clogher Dungannon
95OO10,COALISLAND NORTH Dungannon,Coalisland North Dungannon
95OO11,COALISLAND SOUTH Dungannon,Coalisland South Dungannon
95OO12,COALISLAND WEST AND NEWMILLS Dungannon,Coalisland West and Newmills Dungannon
95OO13,COOLHILL Dungannon,Coolhill Dungannon
95OO14,DONAGHMORE Dungannon,Donaghmore Dungannon
95OO15,DRUMGLASS Dungannon,Drumglass Dungannon
95OO16,FIVEMILETOWN Dungannon,Fivemiletown Dungannon
95OO17,KILLYMAN Dungannon,Killyman Dungannon
95OO18,KILLYMEAL Dungannon,Killymeal Dungannon
95OO19,MOY Dungannon,Moy Dungannon
95OO20,MOYGASHEL Dungannon,Moygashel Dungannon
